municipio,tipo de crimen,año,trimestre,num_trimestre,conteo_predicho,modelo,nivel_confianza
Algete,Homicidios dolosos y asesinatos en grado tentativa,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Homicidios dolosos y asesinatos en grado tentativa,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Homicidios dolosos y asesinatos en grado tentativa,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Hurtos,2026,Q1,1,31.912712527366384,Gradient Boosting,Estándar
Algete,Hurtos,2026,Q2,2,32.879079920943084,Gradient Boosting,Estándar
Algete,Hurtos,2026,Q3,3,32.992238709226584,Gradient Boosting,Estándar
Algete,Otros ciberdelitos,2026,Q1,1,8.69883241161576,Gradient Boosting,Estándar
Algete,Otros ciberdelitos,2026,Q2,2,6.976196796806383,Gradient Boosting,Estándar
Algete,Otros ciberdelitos,2026,Q3,3,7.323199071350147,Gradient Boosting,Estándar
Algete,Resto de criminalidad convencional,2026,Q1,1,102.50961862694619,Gradient Boosting,Estándar
Algete,Resto de criminalidad convencional,2026,Q2,2,102.50961862694619,Gradient Boosting,Estándar
Algete,Resto de criminalidad convencional,2026,Q3,3,94.62992103190415,Gradient Boosting,Estándar
Algete,Resto de delitos contra la libertad sexual,2026,Q1,1,1.5421979743343204,Gradient Boosting,Estándar
Algete,Resto de delitos contra la libertad sexual,2026,Q2,2,1.466513630084666,Gradient Boosting,Estándar
Algete,Resto de delitos contra la libertad sexual,2026,Q3,3,1.9409711600434152,Gradient Boosting,Estándar
Algete,Robos con fuerza en domicilios,2026,Q1,1,7.060702542919079,Gradient Boosting,Estándar
Algete,Robos con fuerza en domicilios,2026,Q2,2,6.430862175197474,Gradient Boosting,Estándar
Algete,Robos con fuerza en domicilios,2026,Q3,3,6.430862175197474,Gradient Boosting,Estándar
Algete,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q1,1,8.783338157728457,Gradient Boosting,Estándar
Algete,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q2,2,10.09305809841471,Gradient Boosting,Estándar
Algete,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q3,3,10.09305809841471,Gradient Boosting,Estándar
Algete,Robos con violencia e intimidación,2026,Q1,1,1.4456203787034672,Gradient Boosting,Estándar
Algete,Robos con violencia e intimidación,2026,Q2,2,1.4345847002223302,Gradient Boosting,Estándar
Algete,Robos con violencia e intimidación,2026,Q3,3,1.4345847002223302,Gradient Boosting,Estándar
Algete,Secuestro,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Secuestro,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Secuestro,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Algete,Sustracciones de vehículos,2026,Q1,1,3.8118389545160203,Gradient Boosting,Estándar
Algete,Sustracciones de vehículos,2026,Q2,2,3.030986187077562,Gradient Boosting,Estándar
Algete,Sustracciones de vehículos,2026,Q3,3,2.8057761853138805,Gradient Boosting,Estándar
Algete,Tráfico de drogas,2026,Q1,1,1.6917236318483468,Gradient Boosting,Estándar
Algete,Tráfico de drogas,2026,Q2,2,1.4345847002223302,Gradient Boosting,Estándar
Algete,Tráfico de drogas,2026,Q3,3,1.9090422301810799,Gradient Boosting,Estándar
Aranjuez,Agresión sexual con penetración,2026,Q1,1,1.9090422301810799,Gradient Boosting,Estándar
Aranjuez,Agresión sexual con penetración,2026,Q2,2,2.1661149845996412,Gradient Boosting,Estándar
